id_auditeur,v_1,v_2,v_3,v_4,v_5,v_6,assignation,voeu_realise
1,ARRAS,SAINT-QUENTIN,BEAUVAIS,COMPIEGNE,BETHUNE,BOULOGNE-SUR-MER,SAINT-QUENTIN,2
2,CHALON-SUR-SAONE,MONTBELIARD,LONS-LE-SAUNIER,COLMAR,CHALONS-EN-CHAMPAGNE,VESOUL,LONS-LE-SAUNIER,3
3,BASTIA,BAYONNE,BEZIERS,SAINT-NAZAIRE,PERPIGNAN,DUNKERQUE,BEZIERS,3
4,BOBIGNY,CRETEIL,PONTOISE,EVRY,BEAUVAIS,NANCY,BEAUVAIS,5
5,MARSEILLE,LYON,TOULOUSE,CHARTRES,PAU,CLERMONT-FERRAND,LYON,2
6,ALBI,BASTIA,PERIGUEUX,MONTAUBAN,NEVERS,MONT-DE-MARSAN,NEVERS,5
7,LAON,TROYES,SENLIS,BOURGES,POITIERS,REIMS,LAON,1
8,BASTIA,AJACCIO,MARSEILLE,PERPIGNAN,TOULON,LES SABLES-D'OLONNE,BASTIA,1
9,ANGERS,CAEN,ROUEN,TOULON,NANCY,METZ,CAEN,2
10,LYON,NICE,TOULON,VERSAILLES,PAU,CLERMONT-FERRAND,LYON,1
11,PONTOISE,NANTERRE,BOBIGNY,EVRY,SENLIS,BEAUVAIS,PONTOISE,1
12,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,CLERMONT-FERRAND,VIENNE,LE PUY-EN-VELAY,SAINT-ETIENNE,CLERMONT-FERRAND,3
13,NEVERS,CLERMONT-FERRAND,DIJON,BOURGES,ORLEANS,MOULINS,NEVERS,1
14,BOURGES,POITIERS,COLMAR,TOURS,CLERMONT-FERRAND,SAINT-BRIEUC,BOURGES,1
15,BESANCON,TOURS,LE HAVRE,POITIERS,NANCY,BOULOGNE-SUR-MER,BESANCON,1
16,SAINT-ETIENNE,BOURG-EN-BRESSE,CHALON-SUR-SAONE,VALENCE,CLERMONT-FERRAND,AUXERRE,CHALON-SUR-SAONE,3
17,ANNECY,THONON-LES-BAINS,CHALON-SUR-SAONE,CLERMONT-FERRAND,CHAMBERY,LE PUY-EN-VELAY,THONON-LES-BAINS,2
18,LORIENT,TOURS,DRAGUIGNAN,LE HAVRE,COUTANCES,METZ,COUTANCES,5
19,BELFORT,MONTBELIARD,MULHOUSE,VESOUL,BESANCON,LONS-LE-SAUNIER,BELFORT,1
20,MARSEILLE,LILLE,MEAUX,NANTERRE,SENLIS,LIMOGES,MARSEILLE,1
21,DOUAI,VALENCIENNES,ARRAS,BETHUNE,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE,DOUAI,1
22,NANTERRE,CRETEIL,EVRY,PONTOISE,METZ,NANCY,EVRY,3
23,AMIENS,DIEPPE,REIMS,SAINT-QUENTIN,LAON,SOISSONS,DIEPPE,2
24,MONTPELLIER,GRENOBLE,CARPENTRAS,BEZIERS,PRIVAS,GAP,CARPENTRAS,3
25,GRENOBLE,CAEN,TOULON,QUIMPER,LE PUY-EN-VELAY,NANCY,LE PUY-EN-VELAY,5
26,AIX-EN-PROVENCE,LILLE,DRAGUIGNAN,LORIENT,LISIEUX,SAINT-NAZAIRE,LISIEUX,5
27,BERGERAC,ANGOULEME,SAINTES,PERIGUEUX,PAU,TARBES,BERGERAC,1
28,LYON,VIENNE,STRASBOURG,MARSEILLE,NANCY,AUXERRE,VIENNE,2
29,BESANCON,STRASBOURG,NANCY,LYON,MULHOUSE,VESOUL,NANCY,3
30,NANTERRE,CRETEIL,PONTOISE,EVRY,SENLIS,BEAUVAIS,NANTERRE,1
31,COLMAR,DIJON,MULHOUSE,NANCY,TROYES,METZ,COLMAR,1
32,ANGOULEME,AGEN,SAINTES,PAU,PERIGUEUX,LIMOGES,AGEN,2
33,EVREUX,ORLEANS,CHARTRES,ROUEN,AUXERRE,SENLIS,EVREUX,1
34,MONTAUBAN,TARBES,AGEN,NARBONNE,PAU,BEZIERS,TARBES,2
35,POITIERS,ANGOULEME,PAU,BAYONNE,PERIGUEUX,LIMOGES,POITIERS,1
36,DIJON,BESANCON,VESOUL,LONS-LE-SAUNIER,BOURG-EN-BRESSE,BELFORT,VESOUL,3
37,VALENCIENNES,DUNKERQUE,ARRAS,DOUAI,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE,VALENCIENNES,1
38,BETHUNE,DOUAI,LILLE,ARRAS,AVESNES-SUR-HELPE,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE,5
39,PONTOISE,MARSEILLE,AVIGNON,TROYES,NANCY,PAU,TROYES,4
40,CLERMONT-FERRAND,SAINT-BRIEUC,SAINT-MALO,BRIVE-LA-GAILLARDE,VANNES,QUIMPER,SAINT-BRIEUC,2
41,GRASSE,TOULON,BAYONNE,PAU,PERPIGNAN,LA ROCHELLE,GRASSE,1
42,CAEN,TOURS,ROUEN,LA ROCHE-SUR-YON,COUTANCES,SAINT-NAZAIRE,CAEN,1
43,ANGERS,LA ROCHE-SUR-YON,SAINT-NAZAIRE,VANNES,LES SABLES-D'OLONNE,LE MANS,SAINT-NAZAIRE,3
44,MACON,CHALON-SUR-SAONE,CHALONS-EN-CHAMPAGNE,TROYES,AUXERRE,CLERMONT-FERRAND,CHALONS-EN-CHAMPAGNE,3
45,AGEN,MONTAUBAN,BEZIERS,PAU,TARBES,PERPIGNAN,TARBES,5
46,CRETEIL,NANTERRE,LILLE,NANCY,LE HAVRE,BEAUVAIS,NANCY,4
47,CHERBOURG,COUTANCES,ARGENTAN,ALENCON,CAEN,SAINT-MALO,ARGENTAN,3
48,MONTPELLIER,BEZIERS,NIMES,ALES,PERPIGNAN,CASTRES,ALES,4
49,GRENOBLE,CHAMBERY,ANNECY,THONON-LES-BAINS,BONNEVILLE,ALBERTVILLE,BONNEVILLE,5
