Identifiant,Ville obtenue,Rang du voeu satisfait,Voeu 1,Voeu 2,Voeu 3,Voeu 4,Voeu 5,Voeu 6
1,SAINT-QUENTIN,2,ARRAS,SAINT-QUENTIN,BEAUVAIS,COMPIEGNE,BETHUNE,BOULOGNE-SUR-MER
2,CHALON-SUR-SAONE,1,CHALON-SUR-SAONE,MONTBELIARD,LONS-LE-SAUNIER,COLMAR,CHALONS-EN-CHAMPAGNE,VESOUL
3,BEZIERS,3,BASTIA,BAYONNE,BEZIERS,SAINT-NAZAIRE,PERPIGNAN,DUNKERQUE
4,BEAUVAIS,5,BOBIGNY,CRETEIL,PONTOISE,EVRY,BEAUVAIS,NANCY
5,CHARTRES,4,MARSEILLE,LYON,TOULOUSE,CHARTRES,PAU,CLERMONT-FERRAND
6,NEVERS,5,ALBI,BASTIA,PERIGUEUX,MONTAUBAN,NEVERS,MONT-DE-MARSAN
7,LAON,1,LAON,TROYES,SENLIS,BOURGES,POITIERS,REIMS
8,BASTIA,1,BASTIA,AJACCIO,MARSEILLE,PERPIGNAN,TOULON,'LES SABLES-D''OLONNE'
9,CAEN,2,ANGERS,CAEN,ROUEN,TOULON,NANCY,METZ
10,LYON,1,LYON,NICE,TOULON,VERSAILLES,PAU,CLERMONT-FERRAND
11,PONTOISE,1,PONTOISE,NANTERRE,BOBIGNY,EVRY,SENLIS,BEAUVAIS
12,LE PUY-EN-VELAY,5,VILLEFRANCHE-SUR-SAONE,BOURG-EN-BRESSE,CLERMONT-FERRAND,VIENNE,LE PUY-EN-VELAY,SAINT-ETIENNE
13,NEVERS,1,NEVERS,CLERMONT-FERRAND,DIJON,BOURGES,ORLEANS,MOULINS
14,BOURGES,1,BOURGES,POITIERS,COLMAR,TOURS,CLERMONT-FERRAND,SAINT-BRIEUC
15,BESANCON,1,BESANCON,TOURS,LE HAVRE,POITIERS,NANCY,BOULOGNE-SUR-MER
16,SAINT-ETIENNE,1,SAINT-ETIENNE,BOURG-EN-BRESSE,CHALON-SUR-SAONE,VALENCE,CLERMONT-FERRAND,AUXERRE
17,THONON-LES-BAINS,2,ANNECY,THONON-LES-BAINS,CHALON-SUR-SAONE,CLERMONT-FERRAND,CHAMBERY,LE PUY-EN-VELAY
18,LORIENT,1,LORIENT,TOURS,DRAGUIGNAN,LE HAVRE,COUTANCES,METZ
19,BELFORT,1,BELFORT,MONTBELIARD,MULHOUSE,VESOUL,BESANCON,LONS-LE-SAUNIER
20,LIMOGES,6,MARSEILLE,LILLE,MEAUX,NANTERRE,SENLIS,LIMOGES
21,DOUAI,1,DOUAI,VALENCIENNES,ARRAS,BETHUNE,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
22,EVRY,3,NANTERRE,CRETEIL,EVRY,PONTOISE,METZ,NANCY
23,DIEPPE,2,AMIENS,DIEPPE,REIMS,SAINT-QUENTIN,LAON,SOISSONS
24,MONTPELLIER,1,MONTPELLIER,GRENOBLE,CARPENTRAS,BEZIERS,PRIVAS,GAP
25,GRENOBLE,1,GRENOBLE,CAEN,TOULON,QUIMPER,LE PUY-EN-VELAY,NANCY
26,LISIEUX,5,AIX-EN-PROVENCE,LILLE,DRAGUIGNAN,LORIENT,LISIEUX,SAINT-NAZAIRE
27,BERGERAC,1,BERGERAC,ANGOULEME,SAINTES,PERIGUEUX,PAU,TARBES
28,VIENNE,2,LYON,VIENNE,STRASBOURG,MARSEILLE,NANCY,AUXERRE
29,BESANCON,1,BESANCON,STRASBOURG,NANCY,LYON,MULHOUSE,VESOUL
30,NANTERRE,1,NANTERRE,CRETEIL,PONTOISE,EVRY,SENLIS,BEAUVAIS
31,COLMAR,1,COLMAR,DIJON,MULHOUSE,NANCY,TROYES,METZ
32,SAINTES,3,ANGOULEME,AGEN,SAINTES,PAU,PERIGUEUX,LIMOGES
33,EVREUX,1,EVREUX,ORLEANS,CHARTRES,ROUEN,AUXERRE,SENLIS
34,TARBES,2,MONTAUBAN,TARBES,AGEN,NARBONNE,PAU,BEZIERS
35,PAU,3,POITIERS,ANGOULEME,PAU,BAYONNE,PERIGUEUX,LIMOGES
36,VESOUL,3,DIJON,BESANCON,VESOUL,LONS-LE-SAUNIER,BOURG-EN-BRESSE,BELFORT
37,VALENCIENNES,1,VALENCIENNES,DUNKERQUE,ARRAS,DOUAI,BOULOGNE-SUR-MER,AVESNES-SUR-HELPE
38,BETHUNE,1,BETHUNE,DOUAI,LILLE,ARRAS,AVESNES-SUR-HELPE,BOULOGNE-SUR-MER
39,PONTOISE,1,PONTOISE,MARSEILLE,AVIGNON,TROYES,NANCY,PAU
40,SAINT-BRIEUC,2,CLERMONT-FERRAND,SAINT-BRIEUC,SAINT-MALO,BRIVE-LA-GAILLARDE,VANNES,QUIMPER
41,GRASSE,1,GRASSE,TOULON,BAYONNE,PAU,PERPIGNAN,LA ROCHELLE
42,CAEN,1,CAEN,TOURS,ROUEN,LA ROCHE-SUR-YON,COUTANCES,SAINT-NAZAIRE
43,SAINT-NAZAIRE,3,ANGERS,LA ROCHE-SUR-YON,SAINT-NAZAIRE,VANNES,'LES SABLES-D''OLONNE',LE MANS
44,MACON,1,MACON,CHALON-SUR-SAONE,CHALONS-EN-CHAMPAGNE,TROYES,AUXERRE,CLERMONT-FERRAND
45,AGEN,1,AGEN,MONTAUBAN,BEZIERS,PAU,TARBES,PERPIGNAN
46,NANCY,4,CRETEIL,NANTERRE,LILLE,NANCY,LE HAVRE,BEAUVAIS
47,CHERBOURG,1,CHERBOURG,COUTANCES,ARGENTAN,ALENCON,CAEN,SAINT-MALO
48,ALES,4,MONTPELLIER,BEZIERS,NIMES,ALES,PERPIGNAN,CASTRES
49,BONNEVILLE,5,GRENOBLE,CHAMBERY,ANNECY,THONON-LES-BAINS,BONNEVILLE,ALBERTVILLE
50,LA ROCHE-SUR-YON,2,ANGERS,LA ROCHE-SUR-YON,RENNES,LE MANS,'LES SABLES-D''OLONNE',CLERMONT-FERRAND
51,CARPENTRAS,3,AVIGNON,NIMES,CARPENTRAS,TOULON,PRIVAS,GAP
52,SENLIS,1,SENLIS,BEAUVAIS,AMIENS,BOBIGNY,LILLE,COMPIEGNE
53,SAINTES,3,ANGOULEME,AGEN,SAINTES,PERIGUEUX,PAU,NIORT
54,DIGNE-LES-BAINS,2,CARPENTRAS,DIGNE-LES-BAINS,MARSEILLE,AVIGNON,TOULON,GAP
55,DRAGUIGNAN,1,DRAGUIGNAN,AVIGNON,BASTIA,DIGNE-LES-BAINS,GAP,CHAMBERY
56,THIONVILLE,4,SAVERNE,COLMAR,METZ,THIONVILLE,NANCY,MULHOUSE
57,BOURG-EN-BRESSE,1,BOURG-EN-BRESSE,STRASBOURG,COLMAR,LE HAVRE,METZ,BOULOGNE-SUR-MER
58,ANGOULEME,1,ANGOULEME,LA ROCHELLE,POITIERS,SAINTES,PAU,LIMOGES
59,AGEN,2,ANGOULEME,AGEN,PERIGUEUX,POITIERS,PAU,LIMOGES
60,ALBI,4,TOULOUSE,MONTAUBAN,AGEN,ALBI,CASTRES,CAHORS
61,BREST,1,BREST,LORIENT,QUIMPER,SAINT-NAZAIRE,CLERMONT-FERRAND,BAYONNE
62,TOULON,1,TOULON,AIX-EN-PROVENCE,AVIGNON,DRAGUIGNAN,PAU,CLERMONT-FERRAND
63,TOULOUSE,2,MARSEILLE,TOULOUSE,AIX-EN-PROVENCE,NIMES,PERPIGNAN,PAU
64,MONT-DE-MARSAN,3,BAYONNE,LA ROCHELLE,MONT-DE-MARSAN,TOULOUSE,PAU,TARBES
65,THONON-LES-BAINS,3,ANNECY,BOURG-EN-BRESSE,THONON-LES-BAINS,GRENOBLE,BONNEVILLE,ALBERTVILLE
